,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
2520,827.59.00,−657.44.00,2374.14.00,−914.21.00,−1447.01.00,mustard silt,−1044.45.00,−1291.48.00,5561.36.00,−90631.32.00,FALSE,FALSE,394.48.00
2521,1123.52.00,474.38.00,1267.42.00,−1024.32.00,1044.12.00,mustard silt,1583.17.00,928.04.00,6064.53.00,−89300.59.00,FALSE,FALSE,−1188.30.00
2522,1375.14.00,555.45.00,1596.48.00,−926.19.00,1222.38.00,mustard silt,267.04.00,−1360.55.00,6684.04.00,−89517.44.00,FALSE,FALSE,−115.01.00
2523,69.37.00,−78.06.00,1300.01.00,−963.08.00,−171.50.00,mustard silt,1265.46.00,1233.58.00,6069.17.00,−90716.14.00,FALSE,FALSE,1082.24.00
2524,405.45.00,−897.57.00,2461.17.00,−1096.51.00,−642.57.00,surströmming,1654.03.00,−1149.25.00,6508.15.00,−90052.31.00,FALSE,FALSE,980.28.00
2525,−303.24.00,467.21.00,2572.39.00,−751.50.00,1361.18.00,mustard silt,−53.08.00,−1187.07.00,6242.13.00,−90510.47.00,FALSE,FALSE,−1108.01.00
2526,945.41.00,−825.33.00,1746.30.00,−124.35.00,−483.40.00,surströmming,−217.12.00,−800.53.00,6635.25.00,−90062.51.00,TRUE,FALSE,968.49.00
2527,647.47.00,−648.27.00,2222.50.00,−1034.09.00,−1426.35.00,mexicansk silt,477.59.00,−294.29.00,5886.16.00,−89824.49.00,FALSE,FALSE,1302.57.00
2528,111.52.00,−30.09.00,1104.18.00,−752.30.00,−399.27.00,curry silt,1594.38.00,−185.24.00,6590.42.00,−90659.18.00,FALSE,FALSE,1431.19.00
2529,196.20.00,−243.55.00,1573.39.00,−563.37.00,−869.46.00,surströmming,−686.34.00,−105.26.00,6676.32.00,−90162.47.00,TRUE,FALSE,59.18.00
2530,1312.37.00,636.51.00,1676.20.00,−1464.34.00,1401.03.00,mustard silt,1570.10.00,−1143.01.00,6790.04.00,−89276.40.00,TRUE,FALSE,−707.30.00
2531,−1042.52.00,854.29.00,1326.20.00,−592.15.00,880.29.00,mustard silt,209.50.00,−1534.00.00,6306.13.00,−89480.34.00,TRUE,FALSE,−394.37.00
2532,239.50.00,−548.44.00,1316.04.00,−1308.58.00,−1207.13.00,mustard silt,1478.44.00,1615.23.00,5985.25.00,−89355.30.00,TRUE,FALSE,1272.39.00
2533,1049.46.00,597.08.00,1319.46.00,−465.54.00,1313.41.00,surströmming,391.01.00,470.35.00,5546.27.00,−90454.24.00,TRUE,FALSE,−703.12.00
2534,155.29.00,−1535.41.00,1768.41.00,−1728.58.00,−47.10.00,surströmming,−211.33.00,−513.15.00,6207.29.00,−90538.11.00,TRUE,FALSE,1445.42.00
2535,727.00.00,1208.47.00,1925.28.00,−1690.45.00,993.39.00,mustard silt,426.57.00,420.11.00,5580.23.00,−90406.45.00,TRUE,FALSE,−1547.25.00
2536,−1663.06.00,149.56.00,2568.23.00,−220.13.00,996.08.00,mustard silt,−416.19.00,928.27.00,6690.03.00,−90386.36.00,TRUE,FALSE,−802.45.00
2537,692.52.00,1077.02.00,1224.35.00,−1285.13.00,703.47.00,mustard silt,−95.02.00,506.34.00,6129.03.00,−89297.20.00,TRUE,FALSE,−1106.26.00
2538,−580.29.00,1027.56.00,1152.09.00,−1008.32.00,928.55.00,mustard silt,1491.32.00,288.47.00,5565.05.00,−90123.38.00,TRUE,FALSE,−1514.21.00
2539,1164.20.00,−1109.58.00,2181.46.00,−1506.07.00,−776.16.00,surströmming,−1626.26.00,1557.28.00,7054.18.00,−90051.17.00,TRUE,FALSE,459.12.00
2540,1277.32.00,−1309.58.00,1073.57.00,−1058.50.00,−1216.15.00,curry silt,991.29.00,−448.24.00,6397.42.00,−90275.31.00,FALSE,FALSE,1400.50.00
2541,−521.36.00,198.38.00,1008.11.00,−976.06.00,770.07.00,mustard silt,1440.11.00,468.28.00,6376.32.00,−89518.39.00,FALSE,FALSE,−308.29.00
2542,−943.18.00,787.58.00,1880.43.00,−257.24.00,401.00.00,mustard silt,1375.11.00,−277.06.00,6825.43.00,−90502.24.00,TRUE,FALSE,−135.43.00
2543,1168.19.00,171.55.00,1941.53.00,−191.43.00,378.13.00,curry silt,−69.57.00,−329.15.00,6589.20.00,−90423.56.00,TRUE,FALSE,−1126.52.00
2544,927.26.00,−762.08.00,1093.18.00,−1107.24.00,−344.10.00,surströmming,−122.09.00,−1014.17.00,6122.16.00,−90639.45.00,FALSE,FALSE,562.49.00
2545,−306.52.00,93.19.00,1139.53.00,−1660.03.00,871.34.00,mustard silt,725.11.00,1543.30.00,6172.37.00,−89362.47.00,TRUE,FALSE,−1165.04.00
2546,689.26.00,−201.38.00,1929.10.00,−1259.03.00,−443.36.00,mustard silt,929.15.00,570.50.00,6795.21.00,−89903.18.00,TRUE,FALSE,740.13.00
2547,680.28.00,893.25.00,1272.54.00,−1433.46.00,299.51.00,mustard silt,349.45.00,−1023.18.00,7106.02.00,−89213.40.00,TRUE,FALSE,−36.13.00
2548,1033.49.00,381.49.00,1640.22.00,−1622.11.00,839.59.00,mustard silt,1097.42.00,456.34.00,7010.57.00,−90111.27.00,TRUE,FALSE,−507.10.00
2549,−1095.43.00,928.18.00,1465.14.00,−362.20.00,709.43.00,mustard silt,719.08.00,−1080.06.00,5889.29.00,−90486.45.00,TRUE,FALSE,−1301.44.00
2550,301.00.00,−626.26.00,2275.55.00,−1487.32.00,−45.38.00,surströmming,−304.25.00,−05.42.00,6365.26.00,−89792.57.00,FALSE,FALSE,647.21.00
2551,1458.13.00,−89.25.00,1075.35.00,−168.32.00,−529.51.00,surströmming,−1661.33.00,25.08.00,6722.46.00,−89576.58.00,TRUE,FALSE,1274.35.00
2552,1563.56.00,−67.08.00,2125.33.00,−1654.39.00,−480.49.00,surströmming,−1197.34.00,−1231.28.00,5638.36.00,−90191.23.00,TRUE,FALSE,422.52.00
2553,999.13.00,−999.29.00,1590.47.00,−275.09.00,−533.12.00,surströmming,1192.18.00,−1270.22.00,6184.27.00,−90498.39.00,TRUE,FALSE,236.11.00
2554,401.40.00,1084.38.00,2523.16.00,−1370.26.00,720.32.00,mustard silt,387.05.00,−390.01.00,6685.30.00,−89803.15.00,TRUE,FALSE,−858.54.00
2555,95.53.00,397.11.00,1383.39.00,−1051.48.00,873.48.00,mustard silt,1638.23.00,−1192.59.00,7124.38.00,−89756.44.00,FALSE,FALSE,771.26.00
2556,−106.33.00,196.12.00,2408.11.00,−263.40.00,764.46.00,mustard silt,−408.16.00,144.53.00,6834.02.00,−89714.48.00,TRUE,FALSE,−1341.43.00
2557,285.10.00,−138.39.00,1075.03.00,−706.38.00,−305.03.00,mustard silt,−1413.57.00,−1611.19.00,6641.20.00,−90523.12.00,FALSE,FALSE,87.48.00
2558,780.49.00,836.44.00,2105.08.00,−1136.17.00,175.10.00,mustard silt,1548.35.00,132.29.00,6772.38.00,−89722.13.00,FALSE,FALSE,−432.19.00
2559,−97.45.00,91.04.00,1430.00.00,−1395.01.00,533.30.00,mustard silt,−1339.41.00,−1346.12.00,5710.28.00,−89242.32.00,TRUE,FALSE,−558.10.00
2560,92.24.00,−150.42.00,1750.41.00,−1141.56.00,−331.33.00,mustard silt,1151.22.00,−1334.29.00,7121.00.00,−90169.16.00,FALSE,FALSE,781.12.00
2561,−1396.01.00,863.03.00,2511.58.00,−512.26.00,566.11.00,mustard silt,693.44.00,−1472.39.00,6111.33.00,−89443.43.00,TRUE,FALSE,−802.42.00
2562,956.01.00,−1190.48.00,2522.32.00,−1196.18.00,−954.05.00,silt med onions,763.46.00,−274.25.00,5837.52.00,−89832.30.00,FALSE,FALSE,207.51.00
2563,1320.08.00,−1389.03.00,1487.39.00,−467.47.00,−1390.15.00,surströmming,976.24.00,−173.43.00,6736.23.00,−90532.51.00,TRUE,FALSE,1239.26.00
2564,1659.09.00,60.29.00,2511.50.00,−1477.46.00,133.04.00,mustard silt,238.39.00,1087.27.00,6655.38.00,−89703.57.00,TRUE,FALSE,379.51.00
2565,1585.01.00,181.27.00,1285.52.00,−537.00.00,399.11.00,surströmming,−678.13.00,343.13.00,6177.11.00,−89902.12.00,TRUE,FALSE,−608.06.00
2566,665.56.00,−1032.23.00,2228.25.00,−1709.30.00,−605.34.00,surströmming,−173.54.00,1557.36.00,5727.35.00,−90244.55.00,TRUE,FALSE,547.31.00
2567,319.04.00,−492.22.00,1497.08.00,−198.53.00,−1083.13.00,surströmming,628.03.00,211.39.00,5491.26.00,−90653.32.00,TRUE,FALSE,1160.43.00
2568,−702.49.00,640.51.00,1334.14.00,−627.46.00,77.21.00,mustard silt,−877.26.00,−1129.18.00,6238.58.00,−89280.49.00,TRUE,FALSE,−1710.09.00
2569,187.48.00,−50.11.00,1469.03.00,−164.45.00,−110.25.00,surströmming,1387.59.00,−154.03.00,6139.38.00,−89288.07.00,TRUE,FALSE,1246.31.00
2570,264.28.00,−378.04.00,2652.25.00,−1019.18.00,−831.45.00,mustard silt,519.23.00,324.21.00,5838.53.00,−90534.45.00,FALSE,FALSE,674.09.00
2571,1547.34.00,78.29.00,2198.19.00,−1056.24.00,172.40.00,mustard silt,946.58.00,489.26.00,6132.48.00,−90018.03.00,FALSE,FALSE,−358.31.00
2572,199.44.00,−343.12.00,2656.38.00,−801.46.00,−755.02.00,mustard silt,1486.53.00,146.25.00,6960.05.00,−90087.43.00,FALSE,FALSE,770.53.00
2573,76.13.00,−1634.47.00,2477.39.00,−1155.12.00,−265.12.00,surströmming,1085.03.00,743.22.00,5620.45.00,−90756.36.00,FALSE,FALSE,1168.34.00
2574,560.25.00,−818.35.00,1955.41.00,−1661.54.00,−135.12.00,surströmming,−780.35.00,−284.03.00,6771.30.00,−89622.17.00,TRUE,FALSE,132.19.00
2575,474.57.00,827.54.00,2195.07.00,−340.19.00,155.42.00,mustard silt,−428.46.00,958.00.00,6255.18.00,−90303.46.00,TRUE,FALSE,−689.41.00
2576,1369.54.00,−1390.38.00,2540.53.00,−1572.32.00,−1393.43.00,surströmming,276.25.00,1607.54.00,6136.18.00,−89644.56.00,TRUE,FALSE,922.49.00
2577,−1345.52.00,1150.20.00,1897.00.00,−498.30.00,1198.11.00,mustard silt,463.40.00,−1009.00.00,5568.49.00,−90369.10.00,TRUE,FALSE,−267.51.00
2578,982.31.00,605.05.00,1088.56.00,−1046.46.00,1331.10.00,mustard silt,−1300.27.00,572.44.00,5827.35.00,−90393.25.00,FALSE,FALSE,−1682.40.00
2579,1531.45.00,82.31.00,2463.16.00,−1010.41.00,181.32.00,mustard silt,691.36.00,−813.26.00,5788.17.00,−89780.33.00,FALSE,FALSE,−1016.58.00
2580,653.27.00,−1007.09.00,2242.08.00,−317.29.00,−550.04.00,surströmming,−1602.28.00,−211.18.00,7120.07.00,−90548.59.00,TRUE,FALSE,1596.02.00
2581,1245.13.00,−961.21.00,2589.56.00,−1205.07.00,−449.18.00,mexicansk silt,−1186.21.00,1271.13.00,5579.56.00,−90147.33.00,FALSE,FALSE,1376.31.00
2582,666.19.00,−501.44.00,2277.22.00,−135.14.00,−1103.49.00,silt med schnapps,803.58.00,102.57.00,6796.48.00,−89198.20.00,TRUE,FALSE,591.16.00
2583,158.31.00,−52.18.00,1814.11.00,−242.52.00,−448.12.00,surströmming,679.58.00,−1186.18.00,5852.10.00,−90092.16.00,TRUE,FALSE,1620.00.00
2584,1274.21.00,359.38.00,1454.52.00,−377.56.00,791.12.00,surströmming,1275.03.00,860.20.00,5624.56.00,−90533.42.00,TRUE,FALSE,−1066.27.00
2585,128.08.00,1215.51.00,1241.14.00,−267.27.00,1009.13.00,mexicansk silt,1190.16.00,595.45.00,7130.51.00,−89333.51.00,TRUE,FALSE,−185.05.00
2586,−410.01.00,525.54.00,1688.58.00,−866.31.00,1490.06.00,mustard silt,539.33.00,−243.37.00,6507.30.00,−90215.04.00,TRUE,FALSE,−218.20.00
2587,−395.46.00,497.45.00,1424.41.00,−560.20.00,1428.11.00,mustard silt,−297.16.00,23.50,6252.40.00,−90406.32.00,TRUE,FALSE,−1303.47.00
2588,−1095.36.00,1219.46.00,2356.50.00,−1726.27.00,1350.58.00,mustard silt,410.06.00,−454.02.00,5562.15.00,−90322.09.00,TRUE,FALSE,−850.25.00
2589,922.44.00,−569.30.00,1728.59.00,−1669.35.00,−1252.54.00,surströmming,−318.42.00,1549.29.00,6005.23.00,−89672.08.00,TRUE,FALSE,1478.15.00
2590,31.53.00,−270.13.00,2429.35.00,−1535.49.00,−594.28.00,old-fashioned silt,−294.20.00,−1290.41.00,5715.18.00,−90536.00.00,TRUE,FALSE,592.56.00
2591,335.09.00,−602.01.00,1412.48.00,−375.58.00,−1657.34.00,surströmming,−669.37.00,−340.58.00,5961.12.00,−90545.50.00,TRUE,FALSE,257.02.00
2592,1360.26.00,−1146.37.00,1574.16.00,−347.59.00,−856.54.00,surströmming,−1054.46.00,−116.19.00,6842.47.00,−89507.06.00,TRUE,FALSE,1632.31.00
2593,1269.55.00,−886.51.00,1372.07.00,−288.50.00,−285.23.00,surströmming,−1582.08.00,1078.22.00,6911.40.00,−89264.22.00,TRUE,FALSE,336.23.00
2594,1252.32.00,384.21.00,1352.51.00,−508.52.00,845.34.00,surströmming,−228.40.00,923.41.00,6691.28.00,−90790.45.00,TRUE,FALSE,−542.24.00
2595,100.15.00,−445.53.00,1379.43.00,−195.56.00,−1314.05.00,surströmming,1097.34.00,578.33.00,6712.03.00,−90122.11.00,TRUE,FALSE,155.26.00
2596,193.42.00,−103.44.00,1710.15.00,−1542.20.00,−228.14.00,silt med schnapps,−125.14.00,−848.22.00,5594.41.00,−90701.38.00,TRUE,FALSE,1661.40.00
2597,1536.50.00,−1383.07.00,1356.53.00,−850.11.00,−44.39.00,surströmming,877.46.00,−968.00.00,5721.24.00,−90408.56.00,FALSE,FALSE,1181.57.00
2598,199.08.00,−1332.19.00,1662.17.00,−1053.27.00,−1265.26.00,mustard silt,−581.36.00,587.46.00,6367.33.00,−90026.40.00,FALSE,FALSE,1076.43.00
2599,1419.19.00,−1531.36.00,2481.34.00,−1011.16.00,−38.11.00,silt med schnapps,1020.42.00,303.39.00,5527.58.00,−89667.31.00,FALSE,FALSE,1698.37.00
2600,754.07.00,−653.53.00,1260.04.00,−1157.38.00,−106.00.00,surströmming,−296.10.00,710.05.00,6234.04.00,−89694.56.00,FALSE,FALSE,308.19.00
2601,737.38.00,−650.02.00,1414.43.00,−729.18.00,−97.33.00,silt med schnapps,−252.46.00,−1525.13.00,5957.27.00,−90533.38.00,FALSE,FALSE,1227.32.00
2602,978.07.00,682.33.00,1863.17.00,−1476.15.00,1501.37.00,mustard silt,−224.48.00,−826.18.00,5578.48.00,−90602.16.00,TRUE,FALSE,−1515.10.00
2603,1135.23.00,−1428.03.00,2161.22.00,−173.03.00,−1476.04.00,surströmming,274.16.00,−1391.18.00,5961.04.00,−90421.21.00,TRUE,FALSE,667.05.00
2604,330.48.00,−120.21.00,2066.21.00,−1685.47.00,−264.47.00,curry silt,−1381.13.00,−138.45.00,5528.40.00,−89602.47.00,TRUE,FALSE,366.21.00
2605,97.46.00,1335.30.00,2094.54.00,−1684.49.00,1272.26.00,mustard silt,−1307.49.00,404.29.00,6406.29.00,−90842.06.00,TRUE,FALSE,−1277.11.00
2606,268.46.00,−393.11.00,2530.23.00,−1293.32.00,−864.59.00,mustard silt,334.48.00,−134.49.00,5533.09.00,−89263.32.00,FALSE,FALSE,828.14.00
2607,49.18.00,26.57.00,2616.39.00,−914.57.00,59.18.00,mustard silt,−731.30.00,−112.49.00,6279.44.00,−89430.42.00,FALSE,FALSE,1557.30.00
2608,1013.04.00,966.48.00,2154.50.00,−1259.18.00,461.19.00,mustard silt,1581.58.00,−343.17.00,6088.32.00,−90027.44.00,TRUE,FALSE,−454.38.00
2609,555.11.00,−951.44.00,2312.40.00,−1488.19.00,−428.10.00,surströmming,41.47.00,−502.55.00,7034.11.00,−89187.52.00,TRUE,FALSE,49.28.00
2610,−441.30.00,644.04.00,2011.03.00,−1344.29.00,84.25.00,mustard silt,1419.45.00,1299.49.00,7016.42.00,−89697.22.00,TRUE,FALSE,−798.56.00
2611,485.00.00,1380.44.00,1364.24.00,−1572.46.00,1371.57.00,mustard silt,−135.52.00,−459.38.00,5664.47.00,−89937.00.00,TRUE,FALSE,−1435.23.00
2612,1057.02.00,603.23.00,2528.08.00,−881.50.00,1327.27.00,mustard silt,−1391.18.00,−903.52.00,5685.49.00,−89779.55.00,FALSE,FALSE,−1401.03.00
2613,840.03.00,1049.52.00,1051.06.00,−1307.05.00,644.03.00,mustard silt,−56.19.00,1019.17.00,6616.04.00,−90470.34.00,TRUE,FALSE,−496.21.00
2614,−1005.48.00,1114.33.00,1015.50.00,−795.00.00,1119.30.00,mustard silt,−710.19.00,−1477.39.00,6581.03.00,−90430.58.00,FALSE,FALSE,−1195.12.00
2615,775.58.00,−840.45.00,1722.12.00,−1759.22.00,−517.06.00,surströmming,−650.57.00,−289.39.00,5919.46.00,−90068.34.00,TRUE,FALSE,799.23.00
2616,1017.05.00,−1205.17.00,1555.43.00,−905.31.00,−985.57.00,mustard silt,1147.24.00,−740.14.00,6727.27.00,−89614.58.00,FALSE,FALSE,279.14.00
2617,313.43.00,−156.32.00,2205.08.00,−1312.15.00,−1010.37.00,surströmming,192.15.00,−218.26.00,6692.20.00,−90540.33.00,FALSE,FALSE,1247.42.00
2618,1310.37.00,−1467.38.00,1900.52.00,−1495.24.00,−1563.08.00,surströmming,−390.16.00,773.19.00,5929.31.00,−90838.48.00,TRUE,FALSE,970.15.00
2619,118.37.00,−331.47.00,1077.33.00,−1082.25.00,−729.56.00,mustard silt,−296.30.00,1400.37.00,6200.42.00,−89301.32.00,FALSE,FALSE,89.42.00
2620,1056.21.00,−1077.42.00,2383.42.00,−984.23.00,−705.16.00,curry silt,−224.11.00,571.38.00,5600.25.00,−90153.18.00,FALSE,FALSE,157.55.00
2621,163.04.00,−547.18.00,1878.58.00,−1538.22.00,−1204.04.00,surströmming,411.05.00,−1149.59.00,5542.27.00,−89697.30.00,TRUE,FALSE,214.04.00
2622,839.34.00,−725.25.00,2625.55.00,−164.03.00,−1595.55.00,silt med onions,−500.44.00,−911.16.00,5870.41.00,−89293.26.00,TRUE,FALSE,1099.53.00
2623,−116.39.00,144.57.00,1132.34.00,−1010.49.00,652.02.00,mustard silt,469.29.00,1000.19.00,5690.46.00,−90478.40.00,FALSE,FALSE,−1652.10.00
2624,1012.38.00,−681.15.00,2518.30.00,−1296.05.00,−1498.46.00,mexicansk silt,−377.22.00,−998.05.00,5645.43.00,−89201.23.00,FALSE,FALSE,1370.33.00
2625,988.43.00,−932.30.00,1991.01.00,−1386.42.00,−385.51.00,surströmming,1249.24.00,−339.40.00,5524.53.00,−90466.34.00,FALSE,FALSE,1576.46.00
2626,582.27.00,−745.55.00,1613.05.00,−819.31.00,−1641.00.00,surströmming,−253.58.00,1460.27.00,5937.36.00,−90238.50.00,TRUE,FALSE,1062.57.00
2627,393.19.00,−680.16.00,1140.30.00,−923.52.00,−1496.36.00,mustard silt,−200.29.00,−982.30.00,6158.04.00,−90189.07.00,FALSE,FALSE,530.37.00
2628,−1587.52.00,1330.07.00,2562.50.00,−1259.59.00,261.12.00,mustard silt,−671.37.00,−1496.21.00,6103.47.00,−90621.55.00,TRUE,FALSE,−375.34.00
2629,1090.57.00,579.27.00,1612.39.00,−1637.15.00,1274.47.00,mexicansk silt,−336.58.00,−513.17.00,6351.41.00,−89817.05.00,TRUE,FALSE,−162.46.00
2630,−814.48.00,823.46.00,2208.34.00,−1205.47.00,479.45.00,mustard silt,−872.32.00,−916.45.00,6863.49.00,−90661.41.00,TRUE,FALSE,−209.25.00
2631,1491.50.00,−107.52.00,2327.18.00,−337.57.00,−570.26.00,surströmming,−99.33.00,31.20.00,6779.12.00,−90495.17.00,TRUE,FALSE,250.16.00
2632,−784.49.00,782.31.00,2445.02.00,−1629.23.00,389.01.00,mustard silt,956.28.00,−1085.08.00,5546.42.00,−90455.43.00,TRUE,FALSE,−258.13.00
2633,377.10.00,−127.04.00,2316.55.00,−1043.04.00,−279.34.00,mustard silt,−28.17.00,−499.35.00,5966.08.00,−89215.33.00,FALSE,FALSE,1144.15.00
2634,802.48.00,1221.32.00,2453.10.00,−1124.25.00,1021.43.00,mustard silt,−533.03.00,−800.32.00,6148.19.00,−89685.42.00,FALSE,FALSE,−824.50.00
2635,−341.15.00,216.53.00,1647.42.00,−760.03.00,810.17.00,mustard silt,−1438.33.00,621.55.00,6380.14.00,−89704.32.00,FALSE,FALSE,−964.48.00
2636,519.11.00,1130.05.00,1240.28.00,−1126.40.00,820.31.00,mustard silt,−756.04.00,83.11.00,7051.20.00,−90301.59.00,FALSE,FALSE,−1454.20.00
2637,208.58.00,−498.50.00,1344.25.00,−407.17.00,−1097.25.00,surströmming,521.39.00,188.50.00,6427.45.00,−89583.03.00,TRUE,FALSE,576.26.00
2638,564.11.00,1533.37.00,1307.46.00,−838.49.00,42.38.00,mustard silt,995.04.00,−183.01.00,6955.05.00,−89241.03.00,FALSE,FALSE,−836.12.00
2639,102.13.00,−1523.00.00,2665.28.00,−1244.25.00,−19.17.00,surströmming,1532.15.00,439.14.00,5689.31.00,−90503.17.00,FALSE,FALSE,896.39.00
2640,575.38.00,1316.00.00,1775.28.00,−1433.50.00,1229.32.00,mustard silt,1174.15.00,−247.58.00,6224.34.00,−89501.16.00,TRUE,FALSE,−862.26.00
2641,156.08.00,−1645.58.00,2406.16.00,−431.32.00,−289.48.00,surströmming,881.24.00,566.46.00,6448.15.00,−89597.34.00,TRUE,FALSE,131.37.00
2642,463.06.00,1115.36.00,1143.42.00,−682.37.00,788.40.00,mustard silt,−621.31.00,−768.32.00,6626.35.00,−90345.48.00,FALSE,FALSE,−975.43.00
2643,966.11.00,−1280.13.00,1746.03.00,−1645.13.00,−1150.48.00,mexicansk silt,1009.25.00,−362.34.00,6849.13.00,−89803.32.00,TRUE,FALSE,1161.00.00
2644,−540.03.00,722.28.00,1595.44.00,−1652.51.00,256.55.00,mustard silt,800.30.00,915.58.00,5946.05.00,−90299.35.00,TRUE,FALSE,−104.22.00
2645,854.43.00,881.46.00,1461.03.00,−435.50.00,274.12.00,curry silt,895.30.00,−579.36.00,5548.38.00,−89229.20.00,TRUE,FALSE,−390.54.00
2646,227.34.00,1224.51.00,1260.47.00,−901.52.00,1029.00.00,mustard silt,−111.02.00,961.53.00,6621.05.00,−90745.32.00,FALSE,FALSE,−1033.59.00
2647,609.51.00,−861.18.00,2070.27.00,−256.43.00,−562.19.00,surströmming,−1502.20.00,1425.10.00,6017.44.00,−90614.10.00,TRUE,FALSE,995.26.00
2648,−63.34.00,1445.48.00,1220.20.00,−282.03.00,1515.05.00,old-fashioned silt,−1216.26.00,−145.40.00,5474.13.00,−90715.03.00,TRUE,FALSE,−1452.11.00
2649,−1552.45.00,1542.47.00,1659.04.00,−359.48.00,395.54.00,mustard silt,328.11.00,1584.16.00,6949.56.00,−89939.05.00,TRUE,FALSE,−736.59.00
2650,1626.20.00,−139.41.00,2453.31.00,−209.36.00,−640.27.00,surströmming,−518.44.00,−516.56.00,5737.11.00,−89242.03.00,TRUE,FALSE,375.38.00
2651,1312.56.00,−1397.30.00,1817.55.00,−366.22.00,−1408.50.00,surströmming,−105.55.00,1558.59.00,6088.00.00,−90811.09.00,TRUE,FALSE,1044.28.00
2652,1125.01.00,−844.32.00,2031.59.00,−1681.27.00,−192.17.00,surströmming,−536.15.00,461.14.00,6621.23.00,−89208.25.00,TRUE,FALSE,84.03.00
2653,756.38.00,−1024.23.00,1754.56.00,−1117.35.00,−587.59.00,mustard silt,−1356.16.00,−771.06.00,5958.15.00,−90248.09.00,FALSE,FALSE,681.27.00
2654,925.48.00,880.14.00,1943.26.00,−1635.06.00,270.51.00,mustard silt,457.37.00,−1086.47.00,5479.32.00,−89439.28.00,TRUE,FALSE,−1592.57.00
2655,223.05.00,−151.28.00,1677.06.00,−651.26.00,−666.21.00,mustard silt,−305.48.00,102.11.00,6860.14.00,−90638.50.00,FALSE,FALSE,616.17.00
2656,782.57.00,−631.00.00,1537.59.00,−933.52.00,−55.40.00,surströmming,962.27.00,1118.07.00,6002.58.00,−89947.01.00,TRUE,FALSE,1055.45.00
2657,−470.05.00,668.02.00,1903.02.00,−1718.38.00,137.09.00,mustard silt,−1437.46.00,−47.39.00,5729.07.00,−89390.20.00,TRUE,FALSE,−1448.58.00
2658,638.43.00,−517.07.00,1614.56.00,−216.04.00,−1470.47.00,surströmming,361.06.00,−1000.46.00,6240.36.00,−90792.59.00,TRUE,FALSE,545.22.00
2659,847.12.00,698.37.00,2392.35.00,−1534.19.00,1536.58.00,mustard silt,−1132.33.00,835.09.00,6034.47.00,−90251.40.00,TRUE,FALSE,−300.39.00
2660,179.44.00,−248.50.00,1436.22.00,−305.26.00,−880.34.00,surströmming,−206.59.00,356.55.00,6494.47.00,−89746.16.00,TRUE,FALSE,826.23.00
2661,40.18.00,−152.23.00,1873.30.00,−1717.00.00,−668.23.00,surströmming,−851.51.00,−1651.11.00,6531.13.00,−89575.00.00,TRUE,FALSE,736.12.00
2662,−14.00.00,295.37.00,1695.14.00,−169.32.00,983.29.00,mustard silt,829.11.00,1186.14.00,6219.10.00,−89338.36.00,TRUE,FALSE,−402.14.00
2663,1259.53.00,550.42.00,2242.32.00,−1473.25.00,1211.33.00,mustard silt,−421.45.00,18.22,5742.32.00,−89901.45.00,TRUE,FALSE,−1395.58.00
2664,−834.33.00,1140.07.00,1935.19.00,−1473.20.00,1175.44.00,mustard silt,−629.53.00,−494.05.00,5646.28.00,−89210.07.00,TRUE,FALSE,−1333.55.00
2665,1388.55.00,−1589.28.00,1972.33.00,−1374.02.00,−165.29.00,old-fashioned silt,−446.20.00,−517.08.00,6967.12.00,−90718.13.00,TRUE,FALSE,756.43.00
2666,−1327.03.00,1450.12.00,2579.05.00,−926.44.00,192.13.00,mustard silt,−1059.42.00,697.53.00,5826.39.00,−90769.45.00,FALSE,FALSE,−652.12.00
2667,−153.03.00,287.23.00,1680.22.00,−796.08.00,965.22.00,mustard silt,952.45.00,33.10.00,6341.14.00,−89300.17.00,TRUE,FALSE,−699.15.00
2668,258.22.00,−511.01.00,2614.09.00,−1229.55.00,−1124.15.00,mustard silt,−273.13.00,791.45.00,5500.04.00,−90473.30.00,FALSE,FALSE,349.48.00
2669,1471.08.00,469.56.00,2045.35.00,−1186.35.00,1033.52.00,mustard silt,−1070.16.00,−1468.24.00,6175.05.00,−90382.29.00,FALSE,FALSE,−925.35.00
2670,117.31.00,−1142.33.00,1632.04.00,−131.21.00,−847.56.00,surströmming,1476.37.00,706.19.00,6677.22.00,−89674.22.00,TRUE,FALSE,1144.40.00
2671,557.54.00,−519.57.00,1683.56.00,−1018.17.00,−1143.53.00,surströmming,535.44.00,−1409.38.00,6065.04.00,−89566.52.00,TRUE,FALSE,1536.21.00
2672,409.50.00,−603.02.00,1858.47.00,−307.19.00,−1326.40.00,surströmming,−820.46.00,−862.52.00,5860.36.00,−89342.27.00,TRUE,FALSE,883.18.00
2673,579.18.00,−903.20.00,1705.09.00,−1763.48.00,−321.40.00,surströmming,551.13.00,1630.33.00,5898.18.00,−89818.07.00,TRUE,FALSE,951.35.00
2674,1418.30.00,172.49.00,1083.24.00,−985.41.00,380.13.00,mustard silt,214.07.00,1379.44.00,6620.53.00,−90446.35.00,FALSE,FALSE,−1539.47.00
2675,1370.05.00,03.05,1447.28.00,−787.28.00,06.46,mustard silt,−1266.23.00,487.40.00,5975.48.00,−89531.12.00,FALSE,FALSE,−447.27.00
